,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
171,Sunderland,West Ham,4.94,3.95,1.66,1-1,1.0,1.0,2.0,N
172,Manchester Blue,Leeds,1.12,8.76,20.37,4-0,4.0,0.0,4.0,D
173,Bournemouth,Liverpool,3.51,3.73,1.97,1-1,1.0,1.0,2.0,N
174,Brentford,Newcastle,2.4,4.09,2.5,3-2,3.0,2.0,5.0,D
175,Everton,A. Villa,2.36,3.16,3.13,4-0,4.0,0.0,4.0,D
176,Manchester Red,Fulham,1.94,3.62,3.73,3-1,3.0,1.0,4.0,D
177,N. Forest,Wolverhampton,1.64,3.99,5.03,1-0,1.0,0.0,1.0,D
178,London Blues,C. Palace,1.66,3.89,5.0,2-0,2.0,0.0,2.0,D
179,London Reds,Brighton,1.44,5.28,5.69,2-2,2.0,2.0,4.0,N
180,Burnley,Leeds,2.0,3.23,3.98,2-2,2.0,2.0,4.0,N
181,Brentford,Spurs,2.09,4.34,2.85,3-2,3.0,2.0,5.0,D
182,London Blues,London Reds,3.61,3.41,2.04,0-1,0.0,1.0,1.0,E
183,Newcastle,Everton,1.32,5.0,10.04,3-0,3.0,0.0,3.0,D
184,Fulham,N. Forest,1.67,4.28,4.39,0-3,0.0,3.0,3.0,E
185,C. Palace,A. Villa,2.09,3.51,3.38,0-0,0.0,0.0,0.0,N
186,Manchester Red,Brighton,1.99,3.95,3.29,4-0,4.0,0.0,4.0,D
187,Manchester Blue,Wolverhampton,1.17,7.68,13.72,5-0,5.0,0.0,5.0,D
188,West Ham,Bournemouth,2.03,4.0,3.15,0-0,0.0,0.0,0.0,N
189,Sunderland,Liverpool,11.98,6.59,1.21,0-0,0.0,0.0,0.0,N
190,Burnley,West Ham,2.61,3.39,2.62,0-1,0.0,1.0,1.0,E
191,A. Villa,Manchester Red,1.58,4.37,5.02,1-4,1.0,4.0,5.0,E
192,Spurs,Sunderland,1.52,4.84,5.08,3-0,3.0,0.0,3.0,D
193,N. Forest,London Blues,2.06,3.59,3.37,2-1,2.0,1.0,3.0,D
194,Leeds,Fulham,5.78,4.26,1.53,0-1,0.0,1.0,1.0,E
195,Bournemouth,Brentford,2.5700000000000003,3.25,2.75,0-1,0.0,1.0,1.0,E
196,Everton,Brighton,2.54,3.48,2.64,2-0,2.0,0.0,2.0,D
197,Liverpool,Newcastle,1.51,4.68,5.48,2-1,2.0,1.0,3.0,D
198,London Reds,Manchester Blue,2.21,3.66,2.99,3-0,3.0,0.0,3.0,D
199,Wolverhampton,C. Palace,2.42,3.25,2.94,0-1,0.0,1.0,1.0,E
200,London Blues,Spurs,1.73,4.3,4.03,1-1,1.0,1.0,2.0,N
201,Manchester Blue,Liverpool,1.6,4.67,4.5,2-3,2.0,3.0,5.0,E
202,Fulham,Bournemouth,1.78,4.25,3.83,0-3,0.0,3.0,3.0,E
203,Newcastle,Brighton,1.47,4.97,5.62,4-0,4.0,0.0,4.0,D
204,Burnley,N. Forest,2.48,3.48,2.71,3-2,3.0,2.0,5.0,D
205,C. Palace,Everton,1.92,3.29,4.27,2-0,2.0,0.0,2.0,D
206,Leeds,Manchester Red,4.8100000000000005,3.84,1.69,1-0,1.0,0.0,1.0,D
207,West Ham,London Reds,6.17,4.35,1.5,0-2,0.0,2.0,2.0,E
208,Brentford,Wolverhampton,1.56,4.65,4.93,2-1,2.0,1.0,3.0,D
209,Sunderland,A. Villa,6.39,4.25,1.5,2-0,2.0,0.0,2.0,D
210,Brentford,London Blues,2.04,4.04,3.11,1-1,1.0,1.0,2.0,N
211,C. Palace,Burnley,1.6,4.37,4.84,4-1,4.0,1.0,5.0,D
212,Leeds,Liverpool,9.96,6.22,1.25,2-3,2.0,3.0,5.0,E
213,Manchester Red,Bournemouth,1.64,4.24,4.68,1-1,1.0,1.0,2.0,N
214,Everton,Spurs,2.69,3.52,2.48,1-1,1.0,1.0,2.0,N
215,Manchester Blue,West Ham,1.22,6.78,10.73,2-0,2.0,0.0,2.0,D
216,Brighton,London Reds,4.26,3.74,1.79,3-1,3.0,1.0,4.0,D
217,Sunderland,Fulham,6.97,4.46,1.44,1-2,1.0,2.0,3.0,E
218,Newcastle,N. Forest,1.26,6.05,9.82,5-1,5.0,1.0,6.0,D
219,A. Villa,Wolverhampton,1.35,5.41,7.44,1-1,1.0,1.0,2.0,N
220,Everton,Brighton,2.73,3.51,2.45,2-2,2.0,2.0,4.0,N
221,Fulham,Newcastle,2.51,3.91,2.46,4-2,4.0,2.0,6.0,D
222,Manchester Red,London Reds,4.18,3.5700000000000003,1.85,3-2,3.0,2.0,5.0,D
223,Brentford,Burnley,1.45,5.23,5.62,0-0,0.0,0.0,0.0,N
224,Leeds,Spurs,6.2,5.06,1.43,1-4,1.0,4.0,5.0,E
225,Wolverhampton,Sunderland,1.9,3.79,3.7,0-2,0.0,2.0,2.0,E
226,West Ham,C. Palace,2.39,3.46,2.84,2-0,2.0,0.0,2.0,D
227,Bournemouth,N. Forest,1.8,3.68,4.31,1-2,1.0,2.0,3.0,E
228,London Blues,Liverpool,2.33,3.73,2.76,0-1,0.0,1.0,1.0,E
229,Manchester Blue,A. Villa,1.28,5.86,9.08,2-2,2.0,2.0,4.0,N
230,Spurs,London Reds,4.66,4.2,1.65,0-2,0.0,2.0,2.0,E
231,London Blues,Wolverhampton,1.39,4.93,7.37,4-0,4.0,0.0,4.0,D
232,Everton,Burnley,1.78,3.78,4.28,1-2,1.0,2.0,3.0,E
233,West Ham,Fulham,2.5,3.59,2.63,3-0,3.0,0.0,3.0,D
234,Bournemouth,Manchester Red,2.22,3.35,3.21,1-2,1.0,2.0,3.0,E
235,Brighton,Newcastle,2.2,3.84,2.9,0-0,0.0,0.0,0.0,N
236,C. Palace,N. Forest,1.71,3.97,4.51,2-0,2.0,0.0,2.0,D
237,Manchester Blue,Brentford,1.36,5.32,7.21,2-2,2.0,2.0,4.0,N
238,A. Villa,Sunderland,1.39,5.18,6.72,2-0,2.0,0.0,2.0,D
239,Leeds,Liverpool,9.58,5.93,1.27,3-1,3.0,1.0,4.0,D
240,Spurs,Brentford,2.04,3.94,3.17,2-2,2.0,2.0,4.0,N
241,Manchester Blue,Bournemouth,1.22,7.16,9.93,2-1,2.0,1.0,3.0,D
242,Brighton,Fulham,1.98,3.79,3.44,3-0,3.0,0.0,3.0,D
243,A. Villa,Liverpool,2.14,4.07,2.88,0-2,0.0,2.0,2.0,E
244,C. Palace,Burnley,1.57,4.47,5.0,1-1,1.0,1.0,2.0,N
245,N. Forest,Newcastle,2.45,3.61,2.67,1-1,1.0,1.0,2.0,N
246,Sunderland,London Reds,22.37,7.87,1.13,1-3,1.0,3.0,4.0,E
247,Leeds,Wolverhampton,3.6,3.71,1.95,2-1,2.0,1.0,3.0,D
248,London Blues,West Ham,1.5,4.49,5.94,2-1,2.0,1.0,3.0,D
249,Everton,Manchester Red,2.32,3.18,3.17,1-1,1.0,1.0,2.0,N
250,Bournemouth,C. Palace,2.35,3.13,3.18,2-1,2.0,1.0,3.0,D
251,Fulham,London Reds,5.13,4.06,1.62,1-2,1.0,2.0,3.0,E
252,Everton,London Blues,2.58,3.31,2.7,3-2,3.0,2.0,5.0,D
