equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,total_buts,resultat
Newcastle,Burnley,1.21,6.98,11.5,4-2,6,D
Wolverhampton,C. Palace,2.53,3.27,2.78,1-2,3,E
Fulham,Sunderland,1.7,4.24,4.23,2-1,3,D
Bournemouth,N. Forest,1.83,3.7,4.09,3-1,4,D
Spurs,Newcastle,2.09,4.22,2.89,2-1,3,D
Sunderland,Leeds,3.12,3.14,2.38,0-2,2,E
C. Palace,Fulham,2.3,3.49,2.95,2-0,2,D
Manchester Blue,Wolverhampton,1.18,7.51,13.04,4-0,4,D
London Reds,Liverpool,1.7,4.43,4.08,0-1,1,E
Everton,West Ham,2.04,3.39,3.64,1-1,2,N
Burnley,Manchester Red,3.23,3.34,2.21,1-1,2,N
Brentford,Brighton,2.1,4.31,2.85,1-2,3,E
Newcastle,Liverpool,1.83,4.09,3.73,1-0,1,D
Spurs,London Blues,1.92,4.22,3.31,2-2,4,N
Manchester Blue,Leeds,1.12,8.54,19.81,5-0,5,D
Burnley,N. Forest,2.43,3.42,2.81,3-1,4,D
Sunderland,Bournemouth,5.83,4.56,1.49,1-4,5,E
Everton,Fulham,2.65,3.12,2.76,1-2,3,E
Leeds,Everton,4.17,3.24,1.95,1-1,2,N
Manchester Red,Newcastle,2.2,3.76,2.93,1-3,4,E
Wolverhampton,London Reds,6.39,4.17,1.51,0-4,4,E
Brighton,Manchester Blue,3.74,3.7,1.92,0-3,3,E
Bournemouth,C. Palace,2.3,3.17,3.23,1-0,1,D
Sunderland,A. Villa,6.07,4.1,1.53,1-1,2,N
C. Palace,A. Villa,2.02,3.57,3.5,2-2,4,N
Everton,Brighton,2.53,3.53,2.62,3-0,3,D
Wolverhampton,Fulham,2.67,3.38,2.57,2-1,3,D
Spurs,Brentford,2.07,3.96,3.08,2-2,4,N
Liverpool,N. Forest,1.17,7.31,14.07,4-1,5,D
London Reds,Manchester Red,1.34,5.3,7.83,5-0,5,D
West Ham,Leeds,1.59,3.95,5.64,0-0,0,N
Manchester Blue,Bournemouth,1.23,6.92,10.05,3-1,4,D
Burnley,Sunderland,2.54,3.49,2.63,2-0,2,D
Everton,C. Palace,1.57,4.5,4.95,3-1,4,D
London Blues,Brighton,1.81,4.17,3.74,2-1,3,D
Brentford,Manchester Red,1.82,4.08,3.75,3-0,3,D
Everton,C. Palace,2.43,3.02,3.15,2-0,2,D
N. Forest,London Reds,5.12,3.67,1.69,0-0,0,N
Wolverhampton,London Blues,2.54,3.53,2.61,1-2,3,E
West Ham,Brentford,2.55,3.59,2.57,3-1,4,D
Brighton,Manchester Blue,3.74,3.74,1.9,1-2,3,E
N. Forest,Liverpool,2.91,3.7,2.24,3-2,5,D
Newcastle,Bournemouth,1.31,5.83,8.02,2-2,4,N
London Reds,A. Villa,1.36,5.18,7.7,2-2,4,N
Spurs,Burnley,1.42,5.47,5.79,0-2,2,E
Fulham,Everton,1.84,3.55,4.27,1-0,1,D
C. Palace,Leeds,1.5,4.11,6.67,3-0,3,D
Bournemouth,Spurs,2.54,3.7,2.52,1-1,2,N
Leeds,Manchester Red,5.11,3.97,1.63,0-0,0,N
Brentford,Newcastle,2.3,4.08,2.63,1-5,6,E
Sunderland,West Ham,5.01,3.99,1.64,3-2,5,D
Manchester Blue,Wolverhampton,1.17,7.63,13.18,3-1,4,D
Everton,Brighton,2.61,3.49,2.56,2-0,2,D
N. Forest,Bournemouth,1.83,3.89,3.88,0-1,1,E
London Reds,Manchester Blue,2.15,3.68,3.09,1-2,3,E
Leeds,West Ham,4.07,3.79,1.82,1-1,2,N
Burnley,Manchester Blue,8.17,4.48,1.4,1-2,3,E
London Blues,Bournemouth,1.54,4.54,5.23,0-1,1,E
Fulham,London Reds,1.4,4.82,7.23,0-0,0,N
Everton,Manchester Blue,5.13,3.5,1.73,0-3,3,E
Spurs,Brentford,2.02,3.99,3.19,3-3,6,N
Burnley,London Reds,10.17,4.89,1.32,0-1,1,E
C. Palace,N. Forest,1.7,3.98,4.49,3-1,4,D
Liverpool,Spurs,1.35,5.61,7.13,1-1,2,N
London Reds,Everton,1.29,5.42,10.28,2-0,2,D
Newcastle,Wolverhampton,1.27,5.91,9.65,1-1,2,N
Brentford,Leeds,1.36,5.07,7.91,1-1,2,N
Manchester Blue,Brighton,1.35,5.81,6.86,3-0,3,D
Manchester Red,Burnley,1.41,4.95,6.63,1-0,1,D
Bournemouth,Sunderland,1.86,3.68,3.99,2-2,4,N
Fulham,London Blues,2.14,3.83,3.01,1-2,3,E
Sunderland,Manchester Blue,17.48,7.05,1.16,0-1,1,E
C. Palace,Wolverhampton,1.7,3.92,4.59,5-1,6,D
Liverpool,London Blues,1.33,5.37,8.11,5-0,5,D
Brighton,Spurs,1.95,4.18,3.23,1-2,3,E
Newcastle,Brentford,1.55,4.26,5.6,3-1,4,D
Leeds,Everton,3.96,3.26,2.0,2-1,3,D
N. Forest,Liverpool,3.03,3.67,2.19,2-3,5,E
London Blues,Burnley,1.38,5.24,6.93,5-0,5,D
Sunderland,Manchester Red,6.03,4.17,1.53,2-2,4,N
A. Villa,London Reds,3.43,3.65,2.02,0-2,2,E
West Ham,Manchester Blue,5.18,4.16,1.6,0-1,1,E
Wolverhampton,Bournemouth,2.11,3.86,3.06,3-1,4,D
Spurs,Sunderland,1.52,4.91,5.07,2-1,3,D
Liverpool,Newcastle,1.42,4.98,6.38,1-4,5,E
Everton,London Blues,2.46,3.23,2.9,2-1,3,D
Manchester Blue,Bournemouth,1.21,7.22,10.51,0-3,3,E
Fulham,Wolverhampton,1.63,4.29,4.67,0-0,0,N
Burnley,N. Forest,2.49,3.41,2.74,2-1,3,D
London Reds,Manchester Blue,2.25,3.71,2.89,2-1,3,D
Burnley,C. Palace,3.47,3.22,2.17,3-0,3,D
Brighton,N. Forest,1.5,4.6,5.7,2-1,3,D
Leeds,A. Villa,5.07,3.95,1.64,1-0,1,D
Spurs,West Ham,1.59,4.66,4.61,3-0,3,D
Manchester Red,Bournemouth,1.61,4.32,4.81,1-1,2,N
London Blues,Sunderland,1.45,4.69,6.31,3-2,5,D
Manchester Blue,Manchester Red,1.25,6.16,10.03,4-1,5,D
A. Villa,London Blues,1.67,4.23,4.43,3-0,3,D
Wolverhampton,London Reds,6.81,4.27,1.47,1-1,2,N
N. Forest,A. Villa,2.02,3.48,3.61,4-2,6,D
Manchester Red,London Reds,4.4,3.61,1.8,2-1,3,D
