equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
Everton,Newcastle,2.92,3.42,2.35,1-2,1.0,2.0,3.0,E,
Brighton,London Reds,4.41,3.8,1.75,0-2,0.0,2.0,2.0,E,
Liverpool,Newcastle,1.45,4.92,5.97,3-0,3.0,0.0,3.0,D,
Brentford,London Reds,4.51,4.08,1.69,1-4,1.0,4.0,5.0,E,
Manchester Blue,Brighton,1.36,5.69,6.63,5-1,5.0,1.0,6.0,D,
Manchester Red,N. Forest,1.5,4.47,5.83,3-2,3.0,2.0,5.0,D,
London Blues,Burnley,1.33,5.53,7.69,1-1,1.0,1.0,2.0,N,
Leeds,Everton,4.1,3.27,1.96,3-2,3.0,2.0,5.0,D,
Bournemouth,A. Villa,2.18,3.34,3.33,2-2,2.0,2.0,4.0,N,
West Ham,Spurs,2.53,4.04,2.39,4-0,4.0,0.0,4.0,D,
Fulham,Sunderland,1.73,4.19,4.12,3-2,3.0,2.0,5.0,D,
Wolverhampton,C. Palace,2.53,3.22,2.8200000000000003,1-0,1.0,0.0,1.0,D,
London Reds,Brighton,1.44,5.22,5.74,2-2,2.0,2.0,4.0,N,
C. Palace,Sunderland,1.65,4.14,4.7,2-1,2.0,1.0,3.0,D,
Manchester Red,Leeds,1.36,4.73,8.71,5-0,5.0,0.0,5.0,D,
London Blues,Fulham,1.77,3.85,4.24,1-0,1.0,0.0,1.0,D,
Manchester Blue,Everton,1.21,6.26,13.1,2-1,2.0,1.0,3.0,D,
Burnley,Bournemouth,2.8,3.62,2.35,2-0,2.0,0.0,2.0,D,
N. Forest,A. Villa,2.02,3.49,3.5700000000000003,1-1,1.0,1.0,2.0,N,
Wolverhampton,Brentford,2.64,3.41,2.5700000000000003,1-3,1.0,3.0,4.0,E,
Newcastle,Liverpool,1.8,4.17,3.8,1-2,1.0,2.0,3.0,E,
Spurs,West Ham,1.62,4.58,4.46,1-1,1.0,1.0,2.0,N,
Bournemouth,Brentford,2.64,3.21,2.7,2-0,2.0,0.0,2.0,D,
Wolverhampton,Liverpool,3.7,3.89,1.88,2-1,2.0,1.0,3.0,D,
C. Palace,Leeds,1.45,4.34,7.16,2-0,2.0,0.0,2.0,D,
Everton,Sunderland,1.85,3.5700000000000003,4.19,2-2,2.0,2.0,4.0,N,
Brighton,A. Villa,1.76,3.94,4.18,0-1,0.0,1.0,1.0,E,
N. Forest,Manchester Blue,4.03,3.5,1.9,0-2,0.0,2.0,2.0,E,
Spurs,Manchester Red,1.82,4.13,3.72,2-2,2.0,2.0,4.0,N,
London Blues,Newcastle,1.94,3.87,3.48,2-0,2.0,0.0,2.0,D,
London Reds,Fulham,1.41,4.98,6.76,2-2,2.0,2.0,4.0,N,
Burnley,West Ham,2.73,3.37,2.52,1-2,1.0,2.0,3.0,E,
Leeds,N. Forest,3.68,3.71,1.93,1-2,1.0,2.0,3.0,E,
West Ham,Wolverhampton,1.81,3.9,4.01,2-2,2.0,2.0,4.0,N,
Bournemouth,Everton,2.04,3.11,4.04,0-2,0.0,2.0,2.0,E,
Sunderland,Brighton,8.11,5.45,1.33,1-4,1.0,4.0,5.0,E,
Manchester Blue,Spurs,1.34,5.95,6.91,2-3,2.0,3.0,5.0,E,
Newcastle,Manchester Red,1.41,4.8,7.11,2-1,2.0,1.0,3.0,D,
A. Villa,Burnley,1.3,5.96,8.0,3-2,3.0,2.0,5.0,D,
Fulham,C. Palace,2.12,3.61,3.22,2-1,2.0,1.0,3.0,D,
Liverpool,London Blues,1.35,5.18,7.92,2-2,2.0,2.0,4.0,N,
Brentford,London Reds,4.69,4.24,1.64,1-1,1.0,1.0,2.0,N,
Wolverhampton,A. Villa,2.37,3.43,2.88,1-3,1.0,3.0,4.0,E,
N. Forest,Fulham,2.14,3.43,3.31,0-1,0.0,1.0,1.0,E,
