equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
C. Palace,N. Forest,1.7000000000000002,3.99,4.54,0-2,0.0,2.0,2.0,E,
Burnley,A. Villa,3.16,3.33,2.25,1-2,1.0,2.0,3.0,E,
Manchester Blue,Everton,1.23,5.99,12.06,3-0,3.0,0.0,3.0,D,
Spurs,Liverpool,2.56,4.22,2.31,0-3,0.0,3.0,3.0,E,
Newcastle,Bournemouth,1.3,5.86,8.38,3-1,3.0,1.0,4.0,D,
Sunderland,London Blues,6.89,4.57,1.44,1-4,1.0,4.0,5.0,E,
Manchester Red,Fulham,1.96,3.6,3.66,5-1,5.0,1.0,6.0,D,
West Ham,Brighton,2.54,3.97,2.41,1-2,1.0,2.0,3.0,E,
Bournemouth,C. Palace,2.37,3.13,3.13,2-2,2.0,2.0,4.0,N,
Fulham,Newcastle,2.65,3.9,2.34,3-0,3.0,0.0,3.0,D,
A. Villa,West Ham,1.42,4.98,6.35,2-2,2.0,2.0,4.0,N,
London Blues,Manchester Red,1.64,3.99,5.0,1-4,1.0,4.0,5.0,E,
Brentford,Burnley,1.51,5.03,5.03,6-0,6.0,0.0,6.0,D,
Liverpool,Sunderland,1.19,7.03,12.71,2-0,2.0,0.0,2.0,D,
Brighton,Wolverhampton,1.52,4.53,5.49,1-1,1.0,1.0,2.0,N,
Everton,N. Forest,1.94,3.42,3.95,3-2,3.0,2.0,5.0,D,
London Reds,Manchester Blue,2.2,3.7,2.99,2-2,2.0,2.0,4.0,N,
Spurs,Leeds,1.32,5.46,8.44,5-0,5.0,0.0,5.0,D,
N. Forest,Bournemouth,1.86,3.94,3.72,1-1,1.0,1.0,2.0,N,
Manchester Blue,Brighton,1.35,5.82,6.78,4-0,4.0,0.0,4.0,D,
Sunderland,Leeds,3.23,3.26,2.25,2-1,2.0,1.0,3.0,D,
Manchester Red,Liverpool,2.55,3.69,2.53,2-2,2.0,2.0,4.0,N,
C. Palace,Fulham,2.21,3.51,3.1,2-1,2.0,1.0,3.0,D,
Newcastle,London Blues,1.48,4.62,5.96,4-0,4.0,0.0,4.0,D,
London Reds,Everton,1.28,5.4,10.38,3-1,3.0,1.0,4.0,D,
Burnley,Spurs,3.63,3.94,1.89,2-3,2.0,3.0,5.0,E,
West Ham,Brentford,2.64,3.53,2.51,1-2,1.0,2.0,3.0,E,
Wolverhampton,A. Villa,2.42,3.41,2.8200000000000003,2-0,2.0,0.0,2.0,D,
Sunderland,Burnley,3.93,3.96,1.81,1-3,1.0,3.0,4.0,E,
Leeds,Manchester Red,4.99,3.84,1.67,0-2,0.0,2.0,2.0,E,
Brighton,London Reds,4.28,3.77,1.78,1-2,1.0,2.0,3.0,E,
Fulham,N. Forest,1.69,4.22,4.33,2-1,2.0,1.0,3.0,D,
Spurs,West Ham,1.62,4.52,4.54,3-3,3.0,3.0,6.0,N,
Everton,Bournemouth,2.06,3.51,3.45,0-0,0.0,0.0,0.0,N,
Liverpool,Newcastle,1.42,5.02,6.32,1-0,1.0,0.0,1.0,D,
Brentford,Wolverhampton,1.52,4.71,5.25,1-1,1.0,1.0,2.0,N,
A. Villa,Manchester Blue,3.08,3.72,2.14,0-2,0.0,2.0,2.0,E,
London Blues,C. Palace,1.72,3.75,4.69,3-0,3.0,0.0,3.0,D,
Manchester Red,Burnley,1.44,4.85,6.21,2-1,2.0,1.0,3.0,D,
Newcastle,Leeds,1.18,6.78,15.87,0-1,0.0,1.0,1.0,E,
Brighton,Everton,1.65,3.78,5.26,1-3,1.0,3.0,4.0,E,
Manchester Blue,Brentford,1.36,5.26,7.45,1-1,1.0,1.0,2.0,N,
West Ham,Sunderland,1.8,4.01,3.92,2-3,2.0,3.0,5.0,E,
Wolverhampton,Spurs,2.68,3.92,2.32,4-2,4.0,2.0,6.0,D,
London Reds,A. Villa,1.34,5.32,7.99,1-2,1.0,2.0,3.0,E,
N. Forest,London Blues,2.1,3.56,3.3,1-4,1.0,4.0,5.0,E,
Bournemouth,Fulham,2.4,3.34,2.9,1-2,1.0,2.0,3.0,E,
C. Palace,Liverpool,3.02,3.83,2.14,1-3,1.0,3.0,4.0,E,
Sunderland,Wolverhampton,4.39,3.78,1.76,1-1,1.0,1.0,2.0,N,
Leeds,C. Palace,4.99,3.81,1.67,0-3,0.0,3.0,3.0,E,
Burnley,Newcastle,4.3,3.86,1.76,1-1,1.0,1.0,2.0,N,
Brentford,London Reds,4.66,4.15,1.66,1-3,1.0,3.0,4.0,E,
Liverpool,N. Forest,1.2,6.85,12.78,3-0,3.0,0.0,3.0,D,
Spurs,Manchester Blue,3.71,4.12,1.83,1-1,1.0,1.0,2.0,N,
Everton,Fulham,2.6,3.1,2.84,5-0,5.0,0.0,5.0,D,
London Blues,Bournemouth,1.55,4.48,5.2,1-2,1.0,2.0,3.0,E,
Manchester Red,West Ham,1.59,4.19,5.19,5-1,5.0,1.0,6.0,D,
A. Villa,Brighton,1.71,4.52,3.93,5-1,5.0,1.0,6.0,D,
Bournemouth,Liverpool,3.61,3.74,1.94,0-1,0.0,1.0,1.0,E,
N. Forest,Leeds,1.49,4.02,7.2,3-1,3.0,1.0,4.0,D,
London Reds,Spurs,1.44,5.23,5.78,3-0,3.0,0.0,3.0,D,
Manchester Blue,Sunderland,1.18,7.64,12.3,2-1,2.0,1.0,3.0,D,
Newcastle,West Ham,1.28,5.8100000000000005,9.12,2-1,2.0,1.0,3.0,D,
Brighton,Brentford,1.97,3.74,3.51,0-2,0.0,2.0,2.0,E,
Fulham,London Blues,2.24,3.82,2.84,2-0,2.0,0.0,2.0,D,
Wolverhampton,Manchester Red,2.43,3.41,2.8200000000000003,2-1,2.0,1.0,3.0,D,
C. Palace,Burnley,1.56,4.49,5.07,3-1,3.0,1.0,4.0,D,
A. Villa,Everton,1.5,4.18,6.52,1-0,1.0,0.0,1.0,D,
West Ham,C. Palace,2.31,3.47,2.94,1-0,1.0,0.0,1.0,D,
Leeds,Bournemouth,4.37,4.18,1.69,1-1,1.0,1.0,2.0,N,
Manchester Red,Manchester Blue,3.52,3.45,2.06,3-0,3.0,0.0,3.0,D,
Newcastle,Wolverhampton,1.25,6.08,10.29,4-0,4.0,0.0,4.0,D,
Sunderland,London Reds,22.4,7.8,1.13,0-4,0.0,4.0,4.0,E,
Brentford,A. Villa,1.8,4.09,3.84,1-2,1.0,2.0,3.0,E,
Burnley,N. Forest,2.51,3.49,2.66,4-1,4.0,1.0,5.0,D,
Spurs,Brighton,1.96,4.46,3.07,3-1,3.0,1.0,4.0,D,
Liverpool,Fulham,1.36,5.09,7.9,1-3,1.0,3.0,4.0,E,
Everton,London Blues,2.5,3.23,2.85,3-2,3.0,2.0,5.0,D,
Newcastle,West Ham,1.28,5.9,9.41,0-2,0.0,2.0,2.0,E,
Liverpool,Bournemouth,1.24,6.51,10.06,5-1,5.0,1.0,6.0,D,
Leeds,Everton,4.18,3.27,1.94,0-1,0.0,1.0,1.0,E,
Wolverhampton,London Blues,2.63,3.56,2.51,3-1,3.0,1.0,4.0,D,
Burnley,London Reds,10.18,4.88,1.32,0-1,0.0,1.0,1.0,E,
Brentford,C. Palace,1.89,3.95,3.59,1-3,1.0,3.0,4.0,E,
Spurs,N. Forest,1.52,4.87,5.07,1-3,1.0,3.0,4.0,E,
Fulham,Manchester Blue,4.53,4.07,1.69,4-1,4.0,1.0,5.0,D,
A. Villa,Sunderland,1.35,5.41,7.36,3-0,3.0,0.0,3.0,D,
Brighton,Manchester Red,1.81,3.87,4.01,,,,,,
London Blues,Leeds,1.29,5.28,10.71,1-0,1.0,0.0,1.0,D,
N. Forest,Brentford,2.28,3.37,3.09,2-2,2.0,2.0,4.0,N,
Manchester Blue,A. Villa,1.28,5.87,9.09,3-1,3.0,1.0,4.0,D,
C. Palace,Brighton,2.3,3.84,2.74,2-1,2.0,1.0,3.0,D,
Sunderland,Everton,4.95,3.39,1.78,0-2,0.0,2.0,2.0,E,
Bournemouth,Fulham,2.45,3.29,2.87,1-0,1.0,0.0,1.0,D,
Spurs,Newcastle,2.2,4.21,2.72,1-1,1.0,1.0,2.0,N,
London Reds,Liverpool,1.71,4.44,4.02,1-2,1.0,2.0,3.0,E,
Manchester Red,Wolverhampton,1.52,4.36,5.8100000000000005,1-1,1.0,1.0,2.0,N,
West Ham,Burnley,1.73,4.28,4.05,2-1,2.0,1.0,3.0,D,
Fulham,London Reds,5.31,4.13,1.59,0-0,0.0,0.0,0.0,N,
Burnley,Spurs,3.63,3.94,1.88,4-0,4.0,0.0,4.0,D,
Everton,London Blues,2.54,3.24,2.8,1-0,1.0,0.0,1.0,D,
Leeds,Manchester Red,4.99,3.92,1.65,2-2,2.0,2.0,4.0,N,
A. Villa,Bournemouth,1.45,5.11,5.71,1-1,1.0,1.0,2.0,N,
Wolverhampton,C. Palace,2.49,3.29,2.83,0-3,0.0,3.0,3.0,E,
Manchester Blue,Sunderland,1.17,7.81,13.41,5-0,5.0,0.0,5.0,D,
Liverpool,West Ham,1.2,6.75,12.34,3-2,3.0,2.0,5.0,D,
Brighton,N. Forest,1.51,4.57,5.58,2-2,2.0,2.0,4.0,N,
Brentford,Newcastle,2.26,4.19,2.64,1-4,1.0,4.0,5.0,E,
C. Palace,Leeds,1.47,4.25,6.88,2-3,2.0,3.0,5.0,E,
West Ham,Fulham,2.45,3.58,2.69,1-2,1.0,2.0,3.0,E,
Newcastle,Brighton,1.46,4.94,5.72,4-2,4.0,2.0,6.0,D,
Manchester Red,Everton,1.66,3.61,5.48,1-1,1.0,1.0,2.0,N,
Brentford,Burnley,1.47,5.22,5.27,3-1,3.0,1.0,4.0,D,
N. Forest,Wolverhampton,1.66,3.9,4.96,1-0,1.0,0.0,1.0,D,
Spurs,Liverpool,2.67,4.25,2.22,3-2,3.0,2.0,5.0,D,
Sunderland,London Blues,6.98,4.64,1.43,0-4,0.0,4.0,4.0,E,
Bournemouth,Manchester Blue,5.1,3.62,1.7000000000000002,1-2,1.0,2.0,3.0,E,
London Reds,A. Villa,1.35,5.27,7.83,0-1,0.0,1.0,1.0,E,
A. Villa,West Ham,1.4,5.05,6.66,2-3,2.0,3.0,5.0,E,
Fulham,Spurs,2.32,4.06,2.61,1-2,1.0,2.0,3.0,E,
Manchester Blue,London Reds,2.38,3.62,2.75,2-1,2.0,1.0,3.0,D,
Leeds,N. Forest,3.63,3.72,1.94,0-0,0.0,0.0,0.0,N,
Bournemouth,Sunderland,1.83,3.71,4.11,1-0,1.0,0.0,1.0,D,
Wolverhampton,Newcastle,3.1,3.76,2.12,0-2,0.0,2.0,2.0,E,
Liverpool,Brentford,1.38,4.92,7.66,0-3,0.0,3.0,3.0,E,
Brighton,Burnley,1.46,5.0,5.73,0-0,0.0,0.0,0.0,N,
Everton,C. Palace,2.48,3.0,3.09,2-0,2.0,0.0,2.0,D,
London Blues,Manchester Red,1.65,3.99,4.88,0-3,0.0,3.0,3.0,E,
Burnley,Wolverhampton,2.47,3.4,2.77,1-1,1.0,1.0,2.0,N,
N. Forest,Everton,1.82,3.39,4.62,1-0,1.0,0.0,1.0,D,
Newcastle,Leeds,1.18,6.77,15.48,4-0,4.0,0.0,4.0,D,
Brighton,Liverpool,2.59,3.97,2.37,3-1,3.0,1.0,4.0,D,
Brentford,Fulham,1.98,3.97,3.29,1-3,1.0,3.0,4.0,E,
West Ham,Manchester Blue,5.22,4.18,1.59,1-1,1.0,1.0,2.0,N,
C. Palace,London Blues,2.12,3.63,3.2,1-1,1.0,1.0,2.0,N,
Spurs,A. Villa,1.72,4.26,4.08,2-0,2.0,0.0,2.0,D,
London Reds,Bournemouth,1.29,6.1,8.27,1-0,1.0,0.0,1.0,D,
Sunderland,Manchester Red,5.82,3.97,1.57,2-2,2.0,2.0,4.0,N,
Leeds,Burnley,3.24,3.96,2.0,3-2,3.0,2.0,5.0,D,
Manchester Blue,Spurs,1.36,5.88,6.57,2-3,2.0,3.0,5.0,E,
Fulham,Brighton,2.16,4.11,2.83,3-3,3.0,3.0,6.0,N,
Wolverhampton,Liverpool,3.64,3.89,1.89,0-1,0.0,1.0,1.0,E,
Manchester Red,C. Palace,1.83,3.58,4.29,1-0,1.0,0.0,1.0,D,
Everton,Newcastle,3.04,3.44,2.27,2-2,2.0,2.0,4.0,N,
Bournemouth,West Ham,1.96,3.59,3.7,0-0,0.0,0.0,0.0,N,
London Reds,Sunderland,1.23,6.66,10.64,2-1,2.0,1.0,3.0,D,
London Blues,N. Forest,1.45,4.63,6.5,2-1,2.0,1.0,3.0,D,
A. Villa,Brentford,1.72,4.06,4.29,1-2,1.0,2.0,3.0,E,
Burnley,Everton,2.8200000000000003,2.95,2.73,1-0,1.0,0.0,1.0,D,
Liverpool,Leeds,1.11,8.48,22.25,6-0,6.0,0.0,6.0,D,
Spurs,Bournemouth,1.63,4.79,4.19,2-0,2.0,0.0,2.0,D,
West Ham,London Reds,5.85,4.14,1.54,0-2,0.0,2.0,2.0,E,
Newcastle,London Blues,1.43,4.86,6.42,2-1,2.0,1.0,3.0,D,
Brighton,A. Villa,1.84,3.86,3.9,0-2,0.0,2.0,2.0,E,
N. Forest,Manchester Red,2.05,3.43,3.56,1-1,1.0,1.0,2.0,N,
Sunderland,C. Palace,6.01,3.94,1.56,1-5,1.0,5.0,6.0,E,
Wolverhampton,Fulham,2.6,3.41,2.62,2-1,2.0,1.0,3.0,D,
Brentford,Manchester Blue,3.82,4.06,1.81,0-1,0.0,1.0,1.0,E,
A. Villa,Wolverhampton,1.36,5.3,7.33,0-0,0.0,0.0,0.0,N,
C. Palace,N. Forest,1.73,3.95,4.37,3-0,3.0,0.0,3.0,D,
Manchester Red,Newcastle,2.2,3.72,2.96,3-0,3.0,0.0,3.0,D,
Everton,Liverpool,3.88,3.62,1.9,2-4,2.0,4.0,6.0,E,
London Blues,Burnley,1.34,5.42,7.72,3-1,3.0,1.0,4.0,D,
Manchester Blue,Brighton,1.33,5.92,7.06,3-0,3.0,0.0,3.0,D,
West Ham,Sunderland,1.81,4.0,3.88,3-2,3.0,2.0,5.0,D,
Bournemouth,Brentford,2.61,3.27,2.7,3-1,3.0,1.0,4.0,D,
London Reds,Spurs,1.43,5.25,5.88,4-0,4.0,0.0,4.0,D,
Leeds,Fulham,5.71,4.2,1.55,0-3,0.0,3.0,3.0,E,
Burnley,Manchester Red,3.24,3.33,2.22,2-2,2.0,2.0,4.0,N,
Sunderland,N. Forest,4.48,3.84,1.73,1-2,1.0,2.0,3.0,E,
Fulham,Everton,1.89,3.51,4.07,0-2,0.0,2.0,2.0,E,
Liverpool,London Blues,1.33,5.37,8.13,2-0,2.0,0.0,2.0,D,
Brentford,London Reds,4.75,4.27,1.63,1-2,1.0,2.0,3.0,E,
Spurs,West Ham,1.61,4.55,4.53,1-1,1.0,1.0,2.0,N,
Wolverhampton,Manchester Blue,5.53,3.99,1.59,3-1,3.0,1.0,4.0,D,
Brighton,Bournemouth,1.6,4.54,4.64,1-1,1.0,1.0,2.0,N,
Leeds,A. Villa,5.06,4.01,1.63,1-5,1.0,5.0,6.0,E,
Newcastle,C. Palace,1.43,4.55,7.06,2-0,2.0,0.0,2.0,D,
Everton,A. Villa,2.37,3.15,3.13,0-2,0.0,2.0,2.0,E,
London Blues,Fulham,1.79,3.8,4.2,1-2,1.0,2.0,3.0,E,
N. Forest,Newcastle,2.45,3.59,2.69,2-0,2.0,0.0,2.0,D,
West Ham,Brentford,2.5700000000000003,3.5700000000000003,2.56,3-2,3.0,2.0,5.0,D,
Bournemouth,Wolverhampton,1.85,3.6,4.11,0-1,0.0,1.0,1.0,E,
Manchester Blue,Leeds,1.11,8.76,20.97,6-0,6.0,0.0,6.0,D,
Manchester Red,Liverpool,2.55,3.72,2.51,0-2,0.0,2.0,2.0,E,
C. Palace,Burnley,1.6,4.38,4.8100000000000005,5-1,5.0,1.0,6.0,D,
Spurs,Sunderland,1.51,4.88,5.17,4-1,4.0,1.0,5.0,D,
London Reds,Brighton,1.46,5.17,5.5600000000000005,0-3,0.0,3.0,3.0,E,
Spurs,Burnley,1.41,5.52,5.84,2-3,,,,E,5.0
A. Villa,Sunderland,1.38,5.27,6.93,0-2,,,,E,2.0
West Ham,London Blues,2.54,3.69,2.54,2-0,,,,D,2.0
Manchester Red,London Reds,4.21,3.55,1.85,1-2,,,,E,3.0
Everton,Wolverhampton,1.91,3.42,4.08,0-1,,,,E,1.0
Brentford,Leeds,1.37,5.12,7.57,4-1,,,,D,5.0
Manchester Blue,Liverpool,1.58,4.81,4.58,1-3,,,,E,4.0
Bournemouth,Newcastle,2.88,3.54,2.32,1-2,,,,E,3.0
Fulham,C. Palace,2.1,3.63,3.23,1-0,,,,D,1.0
N. Forest,Brighton,2.26,3.81,2.82,1-3,,,,E,4.0
Wolverhampton,Spurs,2.76,3.86,2.28,0-1,,,,E,1.0
Leeds,Manchester Blue,14.52,6.46,1.2,1-4,,,,E,5.0
C. Palace,A. Villa,2.04,3.55,3.46,1-3,,,,E,4.0
Sunderland,Everton,5.06,3.35,1.77,0-4,,,,E,4.0
Burnley,Manchester Red,3.12,3.29,2.3,0-2,,,,E,2.0
Brighton,Bournemouth,1.64,4.42,4.43,1-0,,,,D,1.0
Fulham,N. Forest,1.69,4.21,4.33,2-0,,,,D,2.0
Liverpool,Everton,1.25,5.56,12.45,6-0,,,,D,6.0
Manchester Red,Manchester Blue,3.71,3.56,1.96,1-4,,,,E,5.0
Sunderland,C. Palace,5.97,3.9,1.57,1-0,,,,D,1.0
Burnley,Bournemouth,2.86,3.69,2.28,2-1,,,,D,3.0
London Blues,Leeds,1.28,5.28,11.08,1-1,,,,N,2.0
Brentford,Brighton,2.03,4.37,2.95,3-3,,,,N,6.0
Spurs,Sunderland,1.54,4.82,4.92,3-2,,,,D,5.0
Manchester Blue,Newcastle,1.43,5.17,5.96,1-1,,,,N,2.0
Bournemouth,Fulham,2.5,3.31,2.79,0-3,,,,E,3.0
London Reds,Burnley,1.18,7.53,12.02,4-2,,,,D,6.0
Everton,C. Palace,2.47,3.05,3.06,1-2,,,,E,3.0
Manchester Red,Wolverhampton,1.51,4.31,6.0,2-1,,,,D,3.0
C. Palace,Spurs,2.27,3.89,2.76,0-3,,,,E,3.0
Sunderland,Manchester Red,5.9,4.07,1.55,0-3,,,,E,3.0
N. Forest,Everton,1.83,3.38,4.61,4-0,,,,D,4.0
Wolverhampton,London Reds,6.94,4.28,1.47,2-1,,,,D,3.0
Newcastle,London Blues,1.43,4.88,6.43,2-0,,,,D,2.0
A. Villa,Bournemouth,1.43,5.22,5.85,4-0,,,,D,4.0
Fulham,Brentford,2.36,3.65,2.76,3-1,,,,D,4.0
Brighton,Manchester Blue,3.62,3.74,1.94,3-3,,,,N,6.0
Leeds,Liverpool,9.6,5.95,1.27,0-4,,,,E,4.0
Manchester Red,C. Palace,1.87,3.49,4.17,2-0,,,,D,2.0
Spurs,N. Forest,1.52,4.79,5.19,5-1,,,,D,6.0
London Blues,Brighton,1.81,4.15,3.77,3-2,,,,D,5.0
Brentford,A. Villa,1.88,4.06,3.55,4-1,,,,D,5.0
Burnley,Wolverhampton,2.49,3.4,2.75,1-1,,,,N,2.0
Fulham,London Blues,2.2,3.8,2.93,0-1,,,,E,1.0
C. Palace,London Reds,5.37,3.88,1.62,0-0,,,,N,0.0
Sunderland,Burnley,4.08,4.0,1.77,0-2,,,,E,2.0
A. Villa,Manchester Blue,2.84,3.65,2.3,1-1,,,,N,2.0
Everton,Brentford,2.64,3.07,2.81,0-3,,,,E,3.0
Newcastle,Leeds,1.17,6.87,16.23,4-0,,,,D,4.0
N. Forest,Manchester Red,2.06,3.43,3.54,2-1,,,,D,3.0
Leeds,Brighton,6.01,4.91,1.45,0-4,,,,E,4.0
Spurs,Brentford,1.98,3.97,3.29,3-2,,,,D,5.0
Manchester Blue,Everton,1.24,5.91,11.65,0-0,,,,N,0.0
London Blues,A. Villa,1.69,3.88,4.74,4-0,,,,D,4.0
Burnley,C. Palace,3.42,3.2,2.2,0-1,,,,E,1.0
Wolverhampton,Sunderland,1.91,3.8,3.68,2-0,,,,D,2.0
Manchester Red,Bournemouth,1.61,4.31,4.79,2-2,,,,N,4.0
Liverpool,Fulham,1.34,5.17,8.36,3-1,,,,D,4.0
London Reds,N. Forest,1.23,6.49,10.59,0-0,,,,N,0.0
Everton,Bournemouth,2.1,3.51,3.35,1-1,,,,N,2.0
London Blues,London Reds,3.64,3.48,2.01,3-1,,,,D,4.0
N. Forest,Brentford,2.3,3.38,3.04,1-1,,,,N,2.0
C. Palace,Sunderland,1.64,4.15,4.76,0-3,,,,E,3.0
Wolverhampton,Manchester Blue,5.82,4.05,1.56,2-3,,,,E,5.0
Fulham,Newcastle,2.57,3.88,2.42,2-1,,,,D,3.0
Burnley,London Blues,3.49,3.52,2.04,0-3,,,,E,3.0
Leeds,Everton,4.29,3.3,1.91,1-2,,,,E,3.0
Liverpool,Manchester Red,1.3,5.4,9.26,3-0,,,,D,3.0
London Reds,Brighton,1.44,5.23,5.69,2-1,,,,D,3.0
Bournemouth,A. Villa,2.33,3.29,3.06,3-0,,,,D,3.0
Manchester Red,Everton,1.68,3.61,5.34,1-2,,,,E,3.0
Brentford,Wolverhampton,1.55,4.62,5.08,3-0,,,,D,3.0
Bournemouth,Sunderland,1.83,3.69,4.12,0-0,,,,N,0.0
Liverpool,Brentford,1.39,4.92,7.31,2-2,,,,N,4.0
N. Forest,London Reds,4.95,3.71,1.7,0-5,,,,E,5.0
Everton,Manchester Blue,5.13,3.54,1.72,1-2,,,,E,3.0
Manchester Red,A. Villa,1.81,3.74,4.18,1-1,,,,N,2.0
Spurs,Newcastle,2.21,4.26,2.69,3-0,,,,D,3.0
Wolverhampton,London Blues,2.55,3.56,2.58,4-0,,,,D,4.0
Burnley,N. Forest,2.52,3.47,2.67,1-1,,,,N,2.0
London Reds,Wolverhampton,1.22,6.68,11.05,5-1,,,,D,6.0
West Ham,Manchester Red,2.26,3.51,3.0,2-2,,,,N,4.0
Fulham,Spurs,2.26,4.08,2.68,1-2,,,,E,3.0
Newcastle,Bournemouth,1.31,5.92,7.98,2-0,,,,D,2.0
London Blues,Liverpool,2.25,3.8,2.83,2-2,,,,N,4.0
Brighton,C. Palace,1.85,3.71,4.0,0-1,,,,E,1.0
Manchester Blue,A. Villa,1.31,5.65,8.5,4-1,,,,D,5.0
N. Forest,Brighton,2.27,3.77,2.83,4-0,,,,D,4.0
Manchester Red,Sunderland,1.52,4.4,5.66,1-0,,,,D,1.0
Spurs,C. Palace,1.76,4.1,4.05,3-1,,,,D,4.0
Fulham,Leeds,1.44,4.48,6.96,2-2,,,,N,4.0
N. Forest,Wolverhampton,1.67,3.91,4.83,1-0,,,,D,1.0
Sunderland,Manchester Blue,19.57,7.54,1.14,1-3,,,,E,4.0
Brighton,Spurs,2.02,4.17,3.07,1-3,,,,E,4.0
Leeds,C. Palace,5.2,3.78,1.66,0-5,,,,E,5.0
Everton,Burnley,1.75,3.83,4.38,2-1,,,,D,3.0
Manchester Red,Fulham,1.9,3.63,3.88,1-3,,,,E,4.0
Manchester Blue,Newcastle,1.46,5.09,5.67,2-0,,,,D,2.0
Brentford,Sunderland,1.58,4.65,4.68,5-0,,,,D,5.0
West Ham,London Blues,2.47,3.66,2.62,0-3,,,,E,3.0
Newcastle,Brentford,1.54,4.27,5.72,1-0,,,,D,1.0
C. Palace,Manchester Red,2.11,3.48,3.36,2-0,,,,D,2.0
Wolverhampton,Liverpool,3.9,4.06,1.79,1-0,,,,D,1.0
Brighton,Bournemouth,1.67,4.41,4.28,3-1,,,,D,4.0
N. Forest,Everton,1.9,3.22,4.5,1-1,,,,N,2.0
Burnley,A. Villa,3.18,3.36,2.23,0-2,,,,E,2.0
London Blues,Sunderland,1.44,4.76,6.47,3-0,,,,D,3.0
Fulham,Manchester Blue,4.57,3.95,1.7,0-5,,,,E,5.0
Spurs,Leeds,1.32,5.47,8.3,2-0,,,,D,2.0
Liverpool,Brighton,1.34,5.72,7.34,4-0,,,,D,4.0
A. Villa,N. Forest,1.36,5.39,7.11,2-1,,,,D,3.0
Manchester Blue,C. Palace,1.3,5.59,8.9,3-3,,,,N,6.0
Manchester Red,Spurs,1.98,4.0,3.29,1-1,,,,N,2.0
Brentford,Fulham,2.07,3.92,3.11,1-1,,,,N,2.0
Leeds,Bournemouth,4.4,4.22,1.68,2-3,,,,E,5.0
West Ham,Burnley,1.7,4.36,4.11,0-0,,,,N,0.0
Sunderland,London Reds,21.64,7.73,1.13,0-5,,,,E,5.0
Spurs,Manchester Blue,3.73,4.09,1.83,1-3,,,,E,4.0
N. Forest,West Ham,1.8,3.78,4.18,2-0,,,,D,2.0
Bournemouth,Manchester Red,2.23,3.31,3.23,3-0,,,,D,3.0
Burnley,Sunderland,2.43,3.52,2.75,0-2,,,,E,2.0
Wolverhampton,A. Villa,2.38,3.42,2.88,0-1,,,,E,1.0
Fulham,London Blues,2.11,3.84,3.08,3-1,,,,D,4.0
Liverpool,Everton,1.26,5.47,11.63,3-1,,,,D,4.0
Brighton,Leeds,1.32,5.14,9.18,3-0,,,,D,3.0
C. Palace,Brentford,2.33,3.47,2.92,3-1,,,,D,4.0
London Reds,Newcastle,1.49,4.85,5.42,3-0,,,,D,3.0
N. Forest,Everton,1.88,3.27,4.49,0-1,,,,E,1.0
Leeds,Liverpool,9.29,5.89,1.28,0-0,,,,N,0.0
London Reds,A. Villa,1.39,5.04,7.12,1-3,,,,E,4.0
London Blues,West Ham,1.48,4.5,6.22,3-2,,,,D,5.0
Brentford,Manchester Blue,3.81,4.02,1.82,1-0,,,,D,1.0
Manchester Red,Wolverhampton,1.51,4.35,5.98,4-1,,,,D,5.0
Sunderland,C. Palace,6.25,3.98,1.54,0-2,,,,E,2.0
Bournemouth,Burnley,1.73,4.02,4.27,5-1,,,,D,6.0
Brighton,Spurs,1.96,4.22,3.19,0-3,,,,E,3.0
Burnley,A. Villa,3.24,3.25,2.25,0-0,,,,N,0.0
Newcastle,Leeds,1.15,7.37,17.6,2-0,,,,D,2.0
Everton,Brentford,2.68,3.12,2.72,0-0,,,,N,0.0
Manchester Blue,Sunderland,1.18,7.63,12.64,1-1,,,,N,2.0
Manchester Red,Fulham,1.87,3.66,3.98,4-1,,,,D,5.0
Spurs,Bournemouth,1.64,4.74,4.16,3-0,,,,D,3.0
Liverpool,Brighton,1.37,5.48,6.85,1-0,,,,D,1.0
London Reds,Burnley,1.2,7.46,11.2,5-0,,,,D,5.0
London Blues,Fulham,1.73,3.83,4.53,0-1,,,,E,1.0
Everton,C. Palace,2.48,3.03,3.07,0-0,,,,N,0.0
Newcastle,Bournemouth,1.31,5.82,7.91,0-2,,,,E,2.0
Fulham,N. Forest,1.74,4.13,4.13,1-1,,,,N,2.0
Manchester Red,Brighton,1.95,3.95,3.41,2-1,,,,D,3.0
London Blues,Leeds,1.31,5.05,10.4,0-0,,,,N,0.0
Liverpool,A. Villa,1.32,5.24,9.02,2-1,,,,D,3.0
Wolverhampton,Brentford,2.63,3.41,2.58,1-2,,,,E,3.0
Spurs,Burnley,1.43,5.37,5.77,2-2,,,,N,4.0
Manchester Blue,London Reds,2.3,3.66,2.83,1-1,,,,N,2.0
Brighton,London Blues,1.95,3.89,3.44,3-1,,,,D,4.0
Burnley,Liverpool,5.31,4.3,1.56,1-3,,,,E,4.0
Bournemouth,Manchester Red,2.31,3.28,3.1,1-1,,,,N,2.0
Sunderland,Wolverhampton,4.39,3.81,1.75,2-1,,,,D,3.0
N. Forest,Leeds,1.47,4.16,7.24,3-1,,,,D,4.0
Manchester Blue,Everton,1.24,5.98,11.98,1-0,,,,D,1.0
London Reds,Spurs,1.44,5.29,5.66,0-0,,,,N,0.0
